id,detail_url,title,location,phrase,tags,created_at
11,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2349c7ea-7458-45e3-a2ed-6dc6ec45ffc4&big_category=A02&mid_category=A0201&big_area=2,문학산역사관,"인천 미추홀구","미추홀 2,000여 년의 역사와 문화를 품고 있는 문학산",#관광지,"2025-03-17 12:51:54"
12,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7c24d955-d96e-4c36-be13-c6913148785f&big_category=A02&mid_category=A0201&big_area=35,"영주 순흥 벽화 고분","경북 영주시","선조들의 삶을 엿볼 수 있는 귀중한 유적","#고분군, #관광지, #역사, #역사공부, #역사관광, #역사관광지, #역사를품은곳, , , , , , ","2025-03-17 12:51:54"
13,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ed5e1a47-233b-43a5-a91d-047aab05e58a&big_category=A02&mid_category=A0201&big_area=2,"대한민국 수준원점","인천 미추홀구","우리나라의 국토 높이를 측정하는 기준점","#관광지, #교육여행, #수준원점, #아이와함께, #역사, #역사관광지, #역사문화재, , , ","2025-03-17 12:51:54"
14,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a8c9f05a-2e9b-4c2e-9d7b-4be4b307eb39&big_category=A02&mid_category=A0201&big_area=2,인하대후문먹거리타운,"인천 미추홀구","다양한 먹거리와 젊음이 넘치는 거리!","#관광지, #맛집, #맛집골목, #맛집탐방, #먹거리투어, #먹자골목, #인하대, #지역특화먹거리, ","2025-03-17 12:51:55"
15,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=262eeed2-abff-4fcf-9a56-c75ca8294b25&big_category=A02&mid_category=A0201&big_area=1,명동사격장,"서울 중구","도심 속에서 사격을 즐기다!","#레포츠, #복합레저스포츠, #사격, #사격장, #스포츠체험, #실내데이트, #연인과함께, , ","2025-03-17 12:51:55"
16,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a503f9da-85c0-41c4-a0d7-2eaada6d5c41&big_category=A02&mid_category=A0201&big_area=35,달포고깃간,"경북 영덕군","영덕 돼지고기 특수 부위 숯불 구이 대표 음식점","#고깃집, #숯불구이, #숯불돼지갈비, #영덕가볼만한곳, #영덕맛집, #영덕여행, ","2025-03-17 12:51:55"
17,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3a2142ce-1536-45ff-8f48-f665dad4b327&big_category=A02&mid_category=A0201&big_area=2,"오목골즉석메밀우동 박문점","인천 미추홀구","24시간 운영하는 즉석메밀우동 전문점","#메밀우동, #메밀짜장, #미추홀구 메밀우동, #오목골즉석메밀우동, #오목골즉석메밀우동 박문점, , ","2025-03-17 12:51:55"
18,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1646fad2-2211-4451-a53b-30a395186b0a&big_category=A02&mid_category=A0201&big_area=35,오암서원,"경북 성주군","최항경과 최은, 최린을 봉향한 서원","#경상권, #관광지, #역사, #역사공부, #역사관광지, #역사를품은곳, #역사문화재, , , , , , , , , ","2025-03-17 12:51:55"
19,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7ee75114-7ee7-490d-a09c-99cc4f40cd24&big_category=A02&mid_category=A0201&big_area=6,"영도 마리노 오토캠핑장","부산 영도구","바다와 바람, 그리고 불빛이 하나 되는 곳","#가족, #가족과함께, #레포츠, #부산, #부산가볼만한곳, #부산여행, #오토캠핑장, , , ","2025-03-17 12:51:55"
20,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e0e8ba8a-0cc2-4a3b-9bdd-a64a4021025f&big_category=A02&mid_category=A0201&big_area=35,풍기향교,"경북 영주시","유서 깊은 풍기향교, 전통과 역사의 숨결이 살아있는 곳","#가족여행, #경상권, #경상북도유형문화재, #관광지, #아이와함께, #역사, #역사공부, , , , , , , , , , ","2025-03-17 12:51:55"
